runtime,cores,log(cores)
28303.0,1,0.0
29293.0,1,0.0
29155.0,1,0.0
15791.0,2,0.30103
15887.0,2,0.30103
15905.0,2,0.30103
10369.0,4,0.60206
10803.0,4,0.60206
10195.0,4,0.60206
5948.0,8,0.90309
5454.0,8,0.90309
5594.0,8,0.90309
4100.0,12,1.07918
4089.0,12,1.07918
4105.0,12,1.07918
3661.0,16,1.20412
3607.0,16,1.20412
3627.0,16,1.20412
3321.0,20,1.30103
3187.0,20,1.30103
3273.0,20,1.30103
3103.0,24,1.38021
3118.0,24,1.38021
3149.0,24,1.38021
2919.0,28,1.44716
2915.0,28,1.44716
2946.0,28,1.44716
2864.0,32,1.50515
2987.0,32,1.50515
2973.0,32,1.50515
